bigg_id,chebi
pep_c,8147
phe__L_c,8089
phom_c,7691
pmtcoa_c,7898
ppap_c,8478
ppbng_c,8335
ppgpp_c,77828
pphn_c,84387
ppp9_c,8592
pppg9_c,8593
pppi_c,9744
pppn_c,8103
preq0_c,677358
preq1_c,58703
prfp_c,75912
prlp_c,7090
pro__L_c,6286
progly_c,73594
protrna_c,6287
prpp_c,58017
psclys_c,61425
pser__L_c,7692
ptrc_c,8650
pydx_c,8667
pydx5p_c,8668
pyr_c,8685
q8h2_c,61682
quin_c,8715
quln_c,8663
r15bp_c,68819
r1p_c,57720
r5p_c,22413
rbflvrd_c,8798
rbl__L_c,6295
rdmbzi_c,10329
rib__D_c,47013
ribflv_c,8843
rml_c,6293
rml1p_c,6294
rmn_c,6292
s7p_c,9083
sbt6p_c,9202
sbzcoa_c,57364
sel_c,9088
seln_c,9089
selnp_c,9101
ser__D_c,4245
ser__L_c,9116
seramp_c,61645
sheme_c,9166
sl2a6o_c,7340
so4_c,9335
spmd_c,9218
stcoa_c,9256
suc6p_c,9315
sucarg_c,7372
succ_c,9304
succoa_c,9310
suchms_c,7704
sucorn_c,7375
tag6p__D_c,58695
tagdp__D_c,58694
tartr__D_c,45873
taur_c,9406
td2coa_c,61405
thr__L_c,6308
thrtrna_c,6309
thymd_c,9579
tma_c,9732
tmao_c,9733
toctd2eACP_c,80388
trdox_c,7845
trdrd_c,15033
tre_c,46211
trnaarg_c,29171
trnacys_c,29167
trnaglu_c,29175
trnagly_c,29176
trnahis_c,29178
trnapro_c,29177
trnaser_c,29179
trnathr_c,29180
trnatrp_c,29181
u3aga_c,61537
u3hga_c,9807
uaccg_c,9818
uacmamu_c,9825
uagmda_c,61543
uama_c,9830
uamag_c,9832
uamr_c,9827
udcpdp_c,9863
udp_c,9802
udpLa4fn_c,58709
udpg_c,9895
ugmda_c,9833
ump_c,9849
unaga_c,62959
uppg3_c,9905
ura_c,9882
uracp_c,59889
urea_c,9888
uri_c,9893
utp_c,9850
xan_c,48517
xmp_c,57464
xtp_c,61314
xu5p__L_c,6328
xylu__L_c,6326
zn2_c,49982
12ppd__S_e,45065
15dap_e,58384
26dap__M_e,57791
3amp_e,60880
3hpp_e,40000
3hpppn_e,57277
4hoxpacd_e,20417
5mtr_e,78440
LalaDglu_e,61566
acald_e,40533
acgal_e,7201
acgam_e,7123
acgam1p_e,7125
acmum_e,7212
acnam_e,7214
acser_e,7668
ag_e,49468
agm_e,58145
akg_e,40661
ala_B_e,63070
ala__L_e,76050
all__D_e,4093
amp_e,47222
arab__L_e,6182
aso3_e,49900
asp__L_e,6193
btn_e,57586
cbi_e,48529
cd2_e,48775
cl_e,5590
