kegg_id,Keq,stdev,bigg_id
R00997,2.90E-05,1.39E-02,ACCAHh
R00998,2.89E-04,4.66E-02,
R00999,1.51E+10,2.44E-02,SHSL4h
R01000,4.51E-04,2.64E-01,2HBO
R01001,4.29E-01,7.90E-03,CYSTGL
R01003,2.62E+02,3.80E-01,
R01004,4.96E+04,3.65E-01,
R01007,1.63E-01,1.23E-02,
R01010,1.68E+02,1.76E-01,ALKP
R01011,2.51E+02,1.76E-01,DHAK
R01012,1.79E+07,1.69E-01,DHAPT
R01014,3.99E-04,9.64E-02,
R01015,9.20E+00,6.42E-01,TPI
R01016,7.91E+09,2.16E-01,MGSA
R01018,1.32E+02,1.50E-01,
R01019,5.35E+18,1.18E-02,
R01021,1.42E+03,6.68E-01,CHOLK
R01023,4.81E+01,4.46E-01,CHAT
R01026,3.75E+03,4.29E-01,ACHEe
R01034,4.90E-05,2.34E-01,GLYCDx
R01036,1.15E-07,1.99E-01,ALCD19
R01039,3.27E-05,2.34E-01,GLYCDy
R01041,7.71E-08,1.99E-01,ALCD19y
R01043,1.26E+04,1.50E-01,G2PP
R01044,3.36E-01,1.56E-01,
R01047,1.41E+06,1.84E-01,GLYCDH
R01048,3.29E+06,1.84E-01,
R01049,8.51E-01,3.10E-01,
R01050,8.80E+01,1.56E-01,
R01051,2.40E+04,2.54E-01,
R01052,1.91E+00,5.26E-02,
R01053,1.15E+06,1.69E-01,
R01054,7.75E+03,5.26E-02,
R01055,3.16E+06,3.51E-02,
R01056,4.65E-01,5.46E-01,RPI
R01057,1.12E+02,2.98E-01,
R01058,2.11E+06,6.42E-01,
R01059,1.21E+04,3.23E-01,TRIOK
R01061,4.30E-02,7.24E-01,GAPDHf
R01063,2.87E-02,6.68E-01,GAPDi_nadp
R01064,5.07E-03,9.64E-02,DDPGALA
R01066,2.89E-04,2.98E-01,DRPA
R01067,1.77E-02,2.16E-01,
R01068,3.40E-04,6.68E-01,FBA
R01069,7.61E-04,1.69E-01,TGBPA
R01070,7.61E-04,1.69E-01,FBAf
R01072,2.83E-10,1.28E-01,GLUPRT
R01073,2.83E-10,6.70E-02,ANPRT
R01075,4.43E+01,2.09E-03,
R01076,1.49E+02,1.69E-01,
R01077,1.69E-01,7.88E-02,
R01079,1.29E+08,1.84E-01,
R01080,1.61E+02,1.76E-01,URIH
R01081,3.36E-01,5.04E-01,
R01082,2.44E-01,7.85E-01,FUM
R01083,1.70E-02,3.36E-01,ADSL1r
R01085,1.93E+08,6.44E-02,FUMAH
R01086,6.72E-03,9.64E-02,ARGSL
R01087,1.22E+01,7.88E-02,MALEI
R01088,3.57E-07,2.86E-01,LLEUDr
R01089,3.92E+02,6.44E-02,
R01090,1.62E+00,2.86E-01,LEUTAi
R01091,5.70E-02,1.00E-01,
R01092,8.46E+01,2.16E-01,GALKr
R01093,2.50E+03,1.44E-01,
R01094,3.76E+02,3.36E-01,
R01095,3.75E+03,1.39E-01,GALOR
R01096,9.14E+02,1.44E-01,
R01097,2.62E+02,3.36E-01,
R01098,1.81E+29,2.35E-02,GALO
R01099,2.68E+20,2.65E-02,
R01100,8.12E+01,4.29E-01,LACZe
R01101,7.49E+01,2.64E-01,DGGH
R01103,6.68E-01,3.24E-02,
R01104,3.94E+00,9.25E-02,GGGH
R01105,2.89E+46,3.10E-01,
R01109,1.83E+00,1.76E-01,
R01110,1.83E+00,1.76E-01,
R01111,7.54E-01,9.64E-02,
R01113,1.29E-04,5.07E-03,CYSGLTH
R01121,6.55E+05,4.13E-02,DPMVD
R01123,7.22E+00,9.64E-02,IDIh
R01126,9.57E+00,2.25E-01,NTD11pp
R01127,6.22E-04,1.33E-02,IMPC
R01128,2.62E+01,2.16E-01,
R01130,1.34E-04,5.05E-02,IMPD
R01131,4.41E+03,2.25E-01,INSK
R01132,2.10E-05,2.86E-01,HXPRT
R01135,9.67E-03,1.84E-01,ADSSh
R01137,2.86E-01,3.10E-01,NDPK8m
R01138,4.90E-05,2.98E-01,DAPOP
R01139,3.75E+03,3.10E-01,r0355
R01140,1.31E+03,2.98E-01,
R01142,2.60E+66,1.63E-02,
R01143,3.90E+66,1.63E-02,
R01144,1.13E+00,4.48E-02,
R01147,1.56E+00,1.76E-01,ALATA_D2
R01148,8.51E-01,1.76E-01,ALATA_D
R01149,6.66E+00,5.94E-02,
R01150,1.81E+04,3.81E-02,ALAALAr
R01151,2.22E+16,2.65E-02,PTRCOX1
R01152,1.24E+09,2.87E-02,CMPA
R01154,3.60E+03,2.54E-01,PTRCAT1
R01155,4.12E-01,2.25E-01,PTRCTA
R01156,5.00E+01,2.44E-01,
R01157,1.28E+10,1.18E-02,AGMTm
R01158,1.38E+01,3.24E-02,HISTD
R01160,5.59E+04,2.99E-02,
R01161,1.82E+02,3.81E-02,
R01163,1.53E+05,3.38E-02,
R01164,2.29E+06,3.39E-03,
R01166,4.84E-01,3.39E-03,
R01167,5.82E+04,1.63E-02,HDC
R01168,1.33E-01,4.29E-01,HISDr
R01171,1.03E-10,1.57E-03,ACOAD1
R01172,2.23E+01,1.51E-03,BNORh
R01173,1.49E+01,1.51E-03,
R01174,1.93E-04,2.17E-03,PBUTT
R01175,9.82E-08,1.05E-03,ACOAD1f
R01176,1.18E+00,1.34E-03,
R01177,6.54E-07,1.45E-03,ACACT2r
R01179,5.23E+00,1.34E-03,
R01180,2.11E-06,1.71E-03,
R01181,2.97E+00,4.65E-01,IBTMr
R01182,9.97E+00,1.92E-02,
R01183,1.18E-01,1.84E-02,INS2D
R01184,1.09E+72,9.67E-03,INOSTO
R01185,4.23E+03,1.92E-02,MI1PP
R01186,4.23E+03,1.92E-02,MI4PP
R01187,4.23E+03,1.92E-02,MI3PP
R01192,7.47E+02,1.39E-01,
R01194,6.14E+00,1.56E-01,GALIGH
R01195,5.41E+02,8.92E-03,FNOR
R01196,5.30E-04,4.87E-03,POR_syn
R01197,1.39E-02,3.67E-03,
R01199,8.86E-01,1.64E-03,
R01200,4.09E+01,1.00E-01,
R01201,9.94E+01,1.33E-01,ACGAMK
R01202,1.41E+05,1.09E-01,
R01203,3.46E+28,1.84E-02,
R01204,4.41E+03,1.04E-01,
R01205,2.72E+02,5.70E-02,
R01206,4.33E+21,1.18E-01,
R01207,2.25E-01,1.91E-01,ACGAM2E
R01209,1.66E+06,3.36E-01,
R01210,2.04E+04,1.45E-03,OIVD2
R01211,5.24E-01,1.92E-02,
R01212,4.21E-08,6.18E-02,
R01213,3.70E-05,3.50E-01,IPPSm
R01214,2.75E-01,6.18E-02,BCTA_val_h
R01215,2.54E-01,6.18E-02,VPAMTr
R01216,3.26E-04,1.63E-02,2DHPFALDL
R01217,3.53E+09,3.25E-03,
R01218,2.76E-02,4.12E-01,MTHFD2m
R01220,1.84E-02,3.95E-01,MTHFDm
R01221,1.05E-04,5.48E-02,GLYCL
R01224,1.53E-07,3.51E-02,MTHFO_nadp
R01225,2.54E-01,1.76E-01,
R01226,1.13E-01,1.70E-02,MOHMT
R01227,1.08E+01,6.70E-02,NTD9e
R01228,3.90E+03,6.70E-02,GSNK
R01229,9.76E-06,1.69E-01,GPAR
R01233,6.82E+05,6.18E-02,
R01238,8.46E+01,7.27E-02,
R01240,1.39E+11,1.18E-01,
R01241,1.38E-12,8.54E-02,
R01244,7.15E+03,2.75E-01,ADD
R01245,7.22E+00,2.44E-01,ADNUC
R01246,6.50E-05,2.98E-01,
R01248,1.12E-09,9.64E-02,PRO1xm
R01249,4.34E-05,3.10E-01,
R01251,7.76E-10,9.64E-02,P5CRm
R01252,1.66E+81,6.22E-04,PROAKGOX1
R01255,3.94E+00,9.31E-04,
R01256,1.43E+01,5.70E-02,
R01257,4.68E-03,9.25E-02,DMALRED
R01266,3.01E-04,1.70E-02,
R01268,1.43E+01,7.88E-02,NNAM
R01270,5.18E+03,1.84E-02,
R01271,4.14E-03,1.70E-02,NMNSn
R01273,9.08E+04,6.44E-02,
R01274,7.75E+03,6.72E-03,FACOAE160
R01277,3.07E+02,1.14E-02,
R01278,2.33E-12,2.46E-04,ACOAR7m
R01279,3.32E-09,1.86E-04,ACOAD7f
R01280,1.37E+02,6.72E-03,FACOAL160p
R01281,1.33E-02,5.72E-03,SERPT
R01283,2.15E+00,7.59E-03,
R01285,5.92E-01,2.99E-02,
R01286,5.92E-01,2.99E-02,CYSTL
R01287,2.65E+11,1.33E-02,AHHST
R01288,7.01E+09,1.05E-02,SHSL2h
R01289,1.73E+05,2.99E-02,
R01290,1.73E+05,2.99E-02,CYSTS
R01291,1.32E+02,3.11E-02,RHCCE
R01292,7.22E+00,1.78E-03,
R01293,1.73E+06,4.12E-01,VNDH_2
R01294,1.15E+06,4.12E-01,
R01295,3.07E+77,5.94E-02,
R01296,2.05E+77,5.94E-02,
R01297,1.74E+79,2.26E-02,
R01298,3.07E+77,5.94E-02,4HBHYOX
R01299,2.60E+79,2.26E-02,
R01300,5.65E+01,2.09E-03,BCOALIG2
R01301,1.96E+04,2.09E-03,4HBZFm
R01302,3.68E-16,6.20E-03,CHRPL
R01304,1.39E+11,1.18E-01,
R01305,1.27E+89,6.98E-02,
R01308,3.31E-08,1.99E-01,
R01322,1.83E+01,2.09E-03,
R01323,7.80E+01,2.09E-03,
R01324,4.66E-02,7.54E-01,ACONTm
R01325,3.51E-02,4.12E-01,ACONTa
R01326,8.77E+02,3.23E-01,HEX4
R01327,3.90E+03,1.99E-01,r0360
R01329,2.98E-01,1.04E-01,EPMGH
R01330,3.06E+03,2.07E-01,r0361
R01333,2.00E+10,1.56E-01,GCALDDm
R01334,1.66E+05,1.91E-01,PGLYCPh
R01335,4.27E-12,1.63E-01,
R01336,1.31E+03,9.25E-02,
R01353,2.28E-06,1.00E-01,
R01355,5.92E-01,9.64E-02,
R01357,6.16E-01,3.23E-01,AACOAT
R01358,1.80E+06,3.23E-01,
R01359,9.97E+00,3.23E-01,ACACCT
R01360,1.97E+03,1.64E-03,
R01361,9.67E-03,5.46E-01,BDHm
R01364,6.69E-14,4.85E-02,FUMAC
R01365,5.04E-01,1.29E-03,
R01366,1.03E+03,3.81E-02,ADCim
R01370,4.20E-07,2.99E-02,
R01371,2.80E-07,2.99E-02,
R01372,5.66E+88,7.59E-03,PPOR
R01373,5.03E+12,6.22E-04,PPNDH
R01375,9.17E+01,8.54E-02,
R01376,1.66E+06,1.45E-02,
R01377,9.08E+04,1.33E-02,PPYRDC
R01378,1.00E-01,9.64E-02,
R01381,8.51E-01,9.64E-02,
R01384,6.38E+01,6.18E-02,UDPGLDC
R01385,1.56E+00,2.64E-01,UGE
R01386,4.81E+01,8.57E-03,
R01387,2.15E+00,1.70E-02,
R01388,2.58E-06,7.24E-01,GLYCDH_1
R01390,1.56E+00,3.81E-02,
R01392,1.72E-06,6.68E-01,HPYRRy
R01393,2.94E+03,5.70E-02,HPYRDC
R01394,5.69E-01,2.54E-01,HPYRI
R01395,1.19E-03,1.91E-01,
R01396,7.82E+00,1.77E-02,
R01397,5.39E+03,9.64E-02,ASPCT
R01398,1.16E+05,9.64E-02,OCTh
R01399,1.44E+00,3.24E-02,
R01401,1.12E+02,2.55E-02,MTAN
R01402,1.01E-02,9.64E-02,MTAP
R01408,4.38E-08,4.87E-03,
R01411,2.21E+04,3.97E-02,MCSNAH
R01412,5.86E+77,8.92E-03,
R01414,1.56E-01,3.66E-02,r0331
R01415,1.04E-01,3.51E-02,
R01416,1.80E+06,3.51E-02,AGDI
R01418,7.79E-11,1.18E-02,
R01419,1.95E+06,1.23E-01,BZDH
R01420,1.30E+06,1.23E-01,
R01421,1.24E+08,3.23E-01,
R01422,4.43E+01,2.09E-03,BCOALIG
R01424,2.74E+00,1.76E-01,NBAH
R01425,1.13E+00,2.64E-01,
R01426,2.59E-07,3.97E-02,
R01427,3.97E+35,2.34E-01,
R01429,4.97E+03,1.23E-01,
R01430,3.32E+03,1.23E-01,XYLOR
R01431,8.95E-04,4.29E-01,XYLR
R01432,2.25E-01,6.16E-01,XYLI1
R01433,1.60E-33,2.34E-01,
R01434,6.30E-08,6.18E-02,VALDHr
R01437,6.64E+01,2.65E-02,
R01438,1.28E+60,8.20E-02,
R01440,1.81E+03,1.09E-01,
R01441,8.46E+01,9.25E-02,
R01442,1.62E+25,1.28E-02,
R01444,2.62E+02,8.89E-02,
R01445,6.16E-01,8.89E-02,
R01446,1.06E+08,1.99E-01,LCADi
R01447,3.22E+00,6.42E-01,
R01449,3.53E-03,1.51E-03,
R01450,2.86E-01,1.84E-01,LacR
R01451,3.82E-03,2.26E-03,
R01456,2.55E-03,2.26E-03,
R01457,2.73E-11,2.44E-01,
R01459,1.85E+22,2.99E-02,
R01460,2.23E+02,2.44E-01,
R01463,5.29E+71,7.56E-02,
R01465,3.15E-06,1.18E-01,THRD
R01466,9.08E+04,1.09E-01,THRS
R01467,6.72E-03,1.23E-01,
R01468,1.03E+04,7.88E-02,ETHAK
R01469,4.75E+17,1.18E-02,
R01471,4.27E+00,1.99E-01,
R01473,1.04E+00,2.64E-01,UA4E
R01476,5.43E+01,1.18E-01,
R01481,2.88E-03,1.76E-01,GULNDer
R01482,7.85E-01,9.64E-02,GUI1
R01483,2.49E+05,1.00E-01,
R01484,2.71E+04,1.04E-01,
R01486,3.03E+06,4.12E-01,
R01487,8.98E-05,4.46E-01,BZALDH
R01488,6.00E-05,4.46E-01,
R01489,7.13E+29,3.24E-02,
R01490,1.91E+00,3.80E-01,
R01491,2.11E+19,3.38E-02,
R01505,4.39E+04,9.67E-03,DHBD
R01506,7.42E+54,1.45E-02,
R01507,2.91E+44,1.51E-02,
R01511,4.99E+02,6.42E-01,
R01512,5.74E-04,6.96E-01,PGKm
R01513,8.68E-07,6.42E-01,PGCD
R01514,8.46E+01,6.16E-01,GLYPT
R01515,7.06E+07,6.68E-01,ACYP
R01516,3.08E+01,1.56E-01,
R01517,2.18E-04,3.23E-01,
R01518,5.44E+00,7.54E-01,PGM
R01519,8.04E+04,7.27E-02,
R01520,3.94E+00,4.12E-01,
R01521,2.63E+00,4.12E-01,
R01522,9.63E+23,3.11E-02,
R01523,2.05E+03,1.63E-01,PRUK
R01524,1.05E-04,2.44E-01,
R01525,7.05E-05,2.44E-01,
R01526,3.31E+04,2.44E-01,RBK_Dr
R01527,1.09E-02,7.88E-02,PGDHh
R01528,1.09E-02,7.88E-02,GND
R01529,3.94E+00,3.95E-01,RPEh
R01530,3.50E-01,2.54E-01,A5PISO
R01535,2.16E-01,2.87E-02,
R01538,5.36E+05,2.76E-02,
R01540,3.57E+06,5.26E-02,ALTRH
R01541,3.90E+03,4.48E-02,DDGLK
R01542,1.45E-03,5.26E-02,
R01543,3.68E-04,5.05E-02,
R01544,6.31E+04,4.66E-02,
R01547,1.18E+00,3.10E-01,ATDAMh
R01548,2.95E+02,1.50E-01,DATCY
R01549,2.61E+03,5.05E-02,DATUP
R01550,3.08E+01,7.85E-01,ALCD20y
R01555,4.46E-01,2.98E-01,MPL
R01556,2.97E+00,5.48E-02,
R01557,3.22E+00,2.34E-01,
R01558,2.50E+03,5.48E-02,OXACOAL
R01559,4.62E+01,4.66E-02,
R01560,1.07E+04,5.69E-01,ADAe
R01561,3.66E-02,3.50E-01,PUNP1
R01562,5.19E+02,9.64E-02,3NUCLE1
R01563,2.30E+05,2.88E-03,
R01564,3.77E+14,7.93E-04,
R01566,3.15E+07,1.18E-02,
R01567,3.76E+02,9.64E-02,TMDK1
R01568,1.32E+02,9.64E-02,
R01569,1.12E+02,9.64E-02,NTD5
R01570,1.69E-01,2.76E-02,TMDPP
R01571,2.74E+00,7.88E-02,
R01573,1.11E+04,1.50E-01,
R01574,1.31E+04,1.39E-01,ARAB1D1
R01575,9.11E+03,1.39E-01,ARAB1D2
R01576,5.98E-04,1.63E-01,
R01577,1.18E-01,5.46E-01,ARABDI
R01579,1.74E+03,4.66E-02,
R01580,1.33E+00,1.04E-01,
R01582,2.87E-02,2.00E-02,
R01583,2.96E+01,3.50E-01,
R01584,2.81E-08,2.17E-02,
R01585,1.02E+05,3.81E-02,
R01586,8.86E-01,2.08E-02,
R01587,2.99E-02,4.85E-02,
R01589,8.27E+08,5.96E-03,
R01598,5.21E+01,4.01E-05,
R01600,1.07E+03,6.96E-01,
R01604,8.72E+04,2.76E-02,
R01607,5.82E+04,2.87E-02,
R01608,6.77E-05,9.64E-02,3HPPD
R01614,7.72E+29,4.36E-06,
R01615,8.46E+01,2.36E-03,
R01616,4.62E+01,2.09E-03,COUCOAFm
R01617,4.22E+04,2.66E-03,
R01618,3.27E+08,5.98E-04,APATT
R01620,1.06E+06,7.88E-02,
R01621,3.00E+10,2.86E-01,
R01627,3.97E+23,7.59E-03,DHSKDH
R01628,3.07E+77,5.94E-02,
R01629,1.74E+79,2.26E-02,
R01630,2.60E+79,2.26E-02,
R01631,7.42E+54,1.45E-02,PCADYOX
R01632,2.91E+44,1.51E-02,
R01633,1.66E+06,4.31E-03,
R01634,5.21E+01,7.27E-02,
R01635,5.21E+01,7.27E-02,
R01637,3.97E+35,2.34E-01,
R01639,1.16E+04,1.99E-01,XYLK
R01641,2.16E-01,2.16E-01,
R01644,9.22E-01,2.54E-01,GHBDHx
R01645,7.56E-02,1.91E-01,4H2KPILY
R01647,1.32E+01,1.91E-01,DHEDAA
R01648,8.54E-02,3.10E-01,ABTA
R01649,3.13E+09,3.24E-02,
R01651,1.54E+04,9.31E-04,OIVD1r
R01652,3.99E-04,3.24E-02,OMCDCm
R01655,7.52E+00,4.84E-01,MTHFC_1
R01657,8.79E+14,7.00E-03,
R01658,2.98E+12,1.05E-02,GPPSh
R01659,2.98E+12,1.05E-02,
R01660,1.06E+06,8.20E-02,
R01662,2.29E+06,1.56E-01,
R01663,2.30E+04,2.35E-02,DCMPDA
R01664,6.35E+02,2.55E-02,NTD3pp
R01665,3.49E+00,9.64E-02,CYTK2n
R01666,6.64E+01,2.55E-02,ADADir
R01667,1.16E+04,9.64E-02,NDP6
R01668,4.92E+06,1.84E-02,NTPP3
R01669,3.08E+01,2.44E-02,
R01670,1.58E+08,2.00E-02,
R01677,2.07E+00,1.13E-01,GNNUC
R01678,8.12E+01,4.29E-01,
R01682,2.94E+03,8.54E-02,LCYSTCBOXL
R01683,3.87E-07,5.05E-02,
R01684,1.08E+00,2.25E-01,
R01688,8.65E-06,6.98E-02,
R01689,2.16E-13,7.56E-02,
R01694,5.51E-04,1.09E-01,
R01695,2.02E+20,1.84E-02,
R01698,1.23E-01,4.84E-01,GCC2cm
R01703,1.37E+102,7.02E-04,
R01704,2.38E+06,7.29E-03,ALDD16
R01707,1.67E+03,2.77E-03,
R01708,1.06E-05,1.91E-01,PYDXOR
R01709,1.02E+30,1.14E-02,
R01710,5.38E+16,1.63E-02,PYDXO_1
R01711,3.72E+18,2.44E-02,PYDXNO
R01712,8.86E-01,9.64E-02,
R01713,3.09E+00,8.89E-02,
R01714,3.14E+08,7.29E-03,CHRS
R01715,4.97E+03,2.00E-03,CHORM
R01716,6.89E+02,8.89E-02,ADCS
R01717,6.68E-01,2.64E-01,ICHORS
R01718,3.08E+01,5.04E-01,
R01720,4.18E-06,4.85E-02,
R01722,1.38E+00,2.26E-02,
R01723,1.11E+04,3.24E-02,
R01724,4.29E-01,9.64E-02,NAMNPP
R01725,1.60E+54,1.28E-02,
R01728,2.72E+02,6.48E-04,PPOR_1
R01730,1.82E+02,6.48E-04,PPND2
R01731,1.08E+02,2.25E-01,
R01732,8.20E-02,7.29E-03,
R01734,3.61E+65,1.51E-03,DMBZIDS
R01735,1.66E+06,1.33E-01,LCADi_D
R01736,1.80E+05,8.89E-02,GLYOX
R01737,5.88E+01,7.56E-02,GNKr
R01738,3.55E-05,7.27E-02,
R01739,4.33E-04,5.04E-01,2DGLCNRy
R01740,2.37E-05,7.27E-02,5DGLCNR
R01741,5.92E-01,8.20E-02,
R01745,1.47E-06,2.64E-01,HOXPRx
R01747,9.79E-07,2.54E-01,
R01748,2.83E+03,5.92E-01,
R01749,2.60E-08,4.66E-02,
R01750,1.73E-08,4.66E-02,
R01751,2.95E+02,6.44E-02,TARTDC
R01752,4.51E+08,2.86E-01,GLYALDDr
R01754,2.85E+00,2.34E-01,
R01757,2.15E+01,1.63E-01,
R01758,2.45E-03,2.34E-01,
R01759,1.64E-03,2.34E-01,
R01761,1.39E-01,2.64E-01,
R01762,6.73E+34,2.75E-01,
R01763,2.27E-04,3.80E-01,
R01764,2.51E+02,4.13E-02,
R01766,3.64E+00,8.54E-02,
R01768,9.31E-04,4.85E-02,HXAND
R01769,2.19E+20,1.14E-02,XAO2x
R01770,4.82E+00,2.44E-01,INSH
R01771,2.81E+05,2.87E-02,HSK
R01773,9.73E-05,2.54E-01,HSDxi
R01775,6.50E-05,2.54E-01,HSDy
R01776,4.06E+03,2.35E-02,HSERTA
R01777,1.74E+04,1.33E-02,HSST
R01781,1.94E-05,2.07E-01,
R01782,3.00E-03,2.34E-01,
R01784,3.40E-04,9.64E-02,
R01785,7.29E-03,1.84E-01,FBA4
R01786,1.07E+03,6.96E-01,GLUKA
R01787,4.87E-03,4.29E-01,SBTRh
R01788,3.93E+01,6.96E-01,
R01790,4.68E+47,5.24E-01,
R01791,4.68E+47,5.24E-01,
R01804,1.43E-11,4.29E-01,ACNPLYS
R01805,3.33E+02,1.00E-01,
R01806,4.13E-02,4.66E-02,
R01807,1.18E-01,5.70E-02,
R01808,8.17E-01,5.70E-02,
R01811,4.30E-02,5.04E-01,ACNML
R01812,2.57E-05,8.57E-03,
R01813,1.46E-04,4.46E-01,r0402
R01817,5.50E-03,2.64E-01,
R01818,1.76E-01,2.98E-01,PMANM
R01819,1.33E+00,3.95E-01,MAN6PI
R01821,6.01E+44,4.65E-01,
R01823,4.73E-44,3.50E-01,
R01825,1.86E+07,1.69E-01,E4PD
R01826,1.38E+12,1.50E-01,DDPAm
R01827,1.33E+00,3.23E-01,TAh
R01829,7.00E-03,1.04E-01,FBA3
R01830,1.77E-02,2.16E-01,TKT2
R01836,2.86E-01,5.04E-01,
R01838,1.91E-01,4.84E-01,
R01843,2.73E+01,1.00E-01,PFK_3
R01844,3.62E+01,1.33E-01,
R01845,1.54E+03,1.00E-01,SBP
R01851,1.24E+09,6.46E-03,
R01859,2.15E+00,1.51E-02,PPCOAC
R01860,8.46E+01,7.27E-02,
R01863,2.44E-02,4.29E-01,PUNP5
R01866,3.82E-03,3.65E-01,
R01867,6.76E+08,1.50E-01,DHORDfum
R01869,5.72E-03,3.80E-01,DHORD_NAD
R01870,3.33E+02,3.50E-01,ORPT
R01872,1.24E-03,9.64E-02,QUINDH
R01873,3.85E+07,7.29E-03,QUIDH
R01874,6.44E-02,2.87E-02,CYSDDS
R01876,8.17E-01,3.50E-01,PYNP2r
R01877,2.23E+02,3.66E-02,3NUCLE2
R01878,5.86E+02,4.12E-01,CYTD
R01879,2.12E+79,7.29E-03,
R01881,4.87E-03,8.51E-01,
R01882,8.66E+06,7.54E-01,
R01884,3.23E-01,3.38E-02,
R01885,7.20E+01,4.66E-02,
R01886,5.92E-01,8.92E-03,
R01888,1.69E-01,3.36E-01,
R01889,7.17E+02,2.54E-01,
R01890,2.86E-01,9.64E-02,CHLPCTD
R01895,3.68E-04,4.29E-01,RBTDG
R01896,2.89E-04,4.65E-01,XYLTD_D
R01898,3.22E+00,2.44E-01,
R01899,1.46E-04,1.23E-01,r0424
R01900,7.54E-01,4.12E-01,ACONTb
R01901,5.84E+03,1.39E-01,XYLK2
R01902,1.81E+04,1.28E-01,KHK2
R01903,6.02E-06,1.28E-01,ABTD
R01904,2.36E-04,3.50E-01,XYLUR
R01905,1.08E+01,4.48E-02,DGULND
R01906,1.68E+02,1.39E-01,LYXI
R01908,2.13E+03,1.18E-02,OXCDC
R01909,3.93E+01,3.97E-02,PYDXNK
R01910,5.35E+18,1.01E-02,
R01911,9.31E-04,3.81E-02,PDXPP
R01912,5.41E+02,2.65E-02,
R01913,9.57E+100,3.24E-02,
R01914,1.37E+16,7.29E-03,
R01917,1.36E+04,1.77E-02,GSPMDS
R01918,3.09E+00,1.77E-02,GSPMDA
R01919,8.51E-01,9.64E-02,
R01921,2.19E-05,1.91E-01,
R01923,4.46E-01,9.64E-02,
R01925,1.50E+00,9.64E-02,
R01926,5.65E+01,3.80E-01,
R01928,6.87E+03,1.63E-01,
R01932,2.82E+04,1.76E-01,
R01933,6.04E+05,1.19E-03,2OXOADOXm
R01934,2.08E-02,3.24E-02,
R01936,1.61E+02,4.48E-02,OXAGm
R01937,3.39E-16,6.98E-02,
R01938,2.27E-16,6.98E-02,AMCOXO
R01939,1.33E+00,9.64E-02,AATA
R01941,8.46E+01,2.36E-03,
R01943,4.62E+01,2.09E-03,CAFFCOA
R01944,3.31E+04,2.66E-03,
R01945,3.68E-04,5.51E-04,
R01946,2.97E+00,1.39E-03,
R01954,5.04E-01,3.10E-01,ARGSS
R01956,2.06E+01,2.34E-01,
R01957,5.19E+02,1.56E-01,
R01959,2.92E+05,1.45E-02,FKYNH
R01960,3.07E+77,5.94E-02,KYN3OX
R01961,4.09E+01,9.64E-02,HEX10
R01962,2.71E+28,2.87E-02,
R01964,1.82E+02,7.56E-02,r0363
R01965,1.43E+02,8.20E-02,r0364
R01966,2.49E-08,2.16E-01,
R01971,2.84E+02,9.64E-02,
R01974,1.44E-01,1.45E-02,INDPYRD
R01975,7.02E-04,3.80E-01,HACD1i
R01976,4.69E-04,3.65E-01,HBCO_nadp
R01977,3.99E-04,5.70E-02,
R01978,1.09E-03,1.71E-03,
R01980,1.49E+01,2.07E-01,
R01981,8.72E+04,1.91E-01,
R01982,1.38E+100,2.44E-01,
R01983,5.69E-01,1.91E-01,GUI2
R01984,3.42E-06,1.18E-01,
R01986,1.46E+08,1.76E-01,ABOR
R01987,3.54E-04,1.44E-01,AABTN
R01989,6.83E-08,2.26E-03,
R01990,1.50E+12,9.67E-03,GUDBUTNAH
R01991,2.30E+05,1.70E-02,
R01992,4.63E+00,1.77E-02,AABHH
R01993,4.27E+00,2.64E-01,DHR
R02003,5.91E+12,5.94E-02,GRTTx
R02008,2.65E+10,1.39E-02,
R02009,1.26E+04,5.94E-02,
R02010,5.12E+44,3.00E-03,
R02013,8.02E+30,8.23E-03,
R02014,6.30E-08,3.51E-02,RNTR1
R02016,7.29E-03,3.10E-01,TRDR
R02017,1.73E-08,5.70E-02,RNDR1n
R02018,1.20E-07,2.00E-02,RNDR4n
R02019,1.95E-07,9.64E-02,RNDR2
R02021,9.42E+05,7.59E-03,PAPSR
R02022,6.03E-07,1.51E-02,RNTR3
R02023,6.54E-07,1.45E-02,RNTR4
R02024,8.70E-08,1.00E-01,RNDR3
R02032,2.27E-04,2.07E-01,
R02034,1.52E-04,2.07E-01,PGLCNDH
R02035,4.59E+03,2.64E-01,PGLh
R02036,3.55E+07,1.28E-01,EDD
R02038,6.96E-01,9.64E-02,PETHCT
R02047,1.78E-04,2.64E-01,HIBDm
R02050,1.44E+00,1.99E-01,
R02058,1.07E+04,5.05E-02,ACGAM6PS
R02059,1.62E+01,4.85E-02,AGDC
R02060,3.09E+00,2.64E-01,PGAMT
R02061,5.91E+12,5.94E-02,GGPS_1
R02063,5.13E+31,1.39E-02,GGDR
R02064,3.51E+73,1.42E-08,
R02065,5.04E+24,1.77E-02,PHYTES
R02071,1.37E+02,1.39E-01,
R02073,2.63E+00,1.76E-01,
R02075,1.79E+44,1.51E-02,
R02076,1.79E+44,1.51E-02,
R02077,2.06E+01,2.34E-01,
R02078,8.07E+78,2.66E-03,
R02080,4.97E+03,8.54E-02,
R02081,7.88E-02,2.00E-03,
R02082,3.66E-02,2.00E-03,
R02083,5.61E+03,2.09E-03,
R02084,3.64E+00,2.00E-03,
R02085,2.75E-01,2.25E-01,
R02087,4.12E-01,9.64E-02,AMANAPEr
