kegg_id,Keq,stdev,bigg_id
R00256,9.94E+01,5.04E-01,GLUNpp
R00257,7.13E+04,5.07E-03,DNGALh
R00258,1.08E+00,6.42E-01,ALATA_L
R00259,7.13E+04,7.56E-02,ACGSm
R00260,7.85E-01,1.76E-01,GLUR
R00261,2.40E+04,6.18E-02,GLUDC
R00262,1.98E+01,1.50E-01,
R00264,1.53E+06,1.99E-01,
R00265,3.89E+04,4.48E-02,
R00267,7.56E-02,7.88E-02,ICDHhr
R00268,5.19E+02,4.48E-02,r0082
R00269,8.86E-01,1.50E-01,r0085
R00270,5.59E-08,7.56E-02,HYNE
R00271,9.84E+04,1.13E-01,
R00272,2.05E+03,6.70E-02,OXGDC
R00273,8.07E+28,2.00E-03,
R00274,2.12E+54,6.98E-02,GTHPi
R00276,7.09E-32,8.92E-03,
R00277,9.09E+16,2.65E-02,PYAM5PO
R00278,2.68E+19,3.38E-02,PDX5POi
R00279,6.85E+16,2.35E-02,
R00286,1.82E+02,1.76E-01,UDPGD
R00287,1.53E+05,4.85E-02,UDPGPpp
R00289,1.00E+00,6.42E-01,GALUi
R00291,3.10E-01,5.24E-01,UDPG4E
R00292,4.93E-44,2.98E-01,
R00293,6.73E+09,1.33E-02,
R00299,1.07E+03,6.96E-01,HEX1
R00300,3.94E+00,4.12E-01,
R00301,6.14E+00,1.91E-01,
R00302,1.45E+22,2.76E-02,
R00303,3.93E+01,6.96E-01,G6PPer
R00304,8.09E+02,5.24E-01,G1PPpp
R00306,1.82E+02,2.25E-01,BGLA
R00307,1.04E+00,7.85E-01,XYLI2
R00308,4.68E+47,5.24E-01,
R00315,4.49E-03,6.42E-01,ACKrh
R00317,9.39E+06,5.92E-01,APhi
R00318,2.62E+14,3.82E-03,
R00319,1.56E+87,2.87E-02,LO
R00320,6.24E-05,5.92E-01,
R00321,9.87E+03,1.56E-01,AMID_1
R00324,1.09E+10,1.91E-01,
R00325,4.12E-01,3.95E-01,
R00327,9.84E+04,1.56E-01,
R00328,1.07E+04,3.80E-01,NDP3ex
R00330,2.74E+00,3.50E-01,ATGDm
R00332,3.94E+00,3.80E-01,GK1
R00335,1.54E+04,3.36E-01,NTP3e
R00337,5.16E+04,6.98E-02,
R00338,8.96E+08,6.70E-02,
R00339,1.53E+06,2.07E-01,TARTD
R00340,1.53E+06,2.07E-01,DTARTD
R00341,1.51E-02,8.20E-02,PPCK
R00341,4.92E-06,7.85E-01,MDHm
R00342,4.92E-06,7.85E-01,MDH
R00343,3.28E-06,6.96E-01,MDHy
R00344,5.44E+00,5.69E-01,PCm
R00345,3.72E-07,8.20E-02,PPC
R00346,2.09E-04,8.20E-02,
R00347,4.76E+04,1.76E-01,
R00348,1.68E+01,1.33E-01,
R00350,4.88E-04,1.13E-01,
R00351,8.68E-07,6.96E-01,CS
R00352,3.66E-02,6.96E-01,ACITL
R00353,1.22E+00,3.10E-01,
R00354,2.00E-03,2.09E-03,
R00355,3.10E-01,6.42E-01,ASPTA
R00357,1.67E+16,3.51E-02,ASPOm
R00359,1.26E+17,2.55E-02,DASPO1p
R00360,1.15E+18,3.51E-02,MOX
R00362,1.56E-01,6.96E-01,CITL
R00363,1.00E-01,9.64E-02,
R00365,8.73E-09,2.75E-01,
R00366,2.05E+15,2.87E-02,GLYOp
R00368,2.68E-06,4.30E-02,
R00369,2.85E+01,2.64E-01,AGTix
R00371,1.73E-07,1.91E-01,GLYATm
R00372,3.81E-02,2.75E-01,GLYTA_1
R00373,1.23E-01,2.75E-01,
R00375,1.48E-33,5.26E-02,
R00377,3.00E-90,1.84E-02,
R00378,9.11E-122,1.57E-02,
R00396,2.48E-07,6.42E-01,ALAD_L
R00397,3.07E+02,7.88E-02,ASP4DC
R00398,7.38E-07,9.64E-02,
R00399,7.69E-07,5.48E-02,
R00400,3.49E+00,5.69E-01,ASPTA6
R00401,1.00E+00,4.46E-01,ALAR
R00402,8.47E-12,1.91E-01,
R00405,2.07E+00,3.50E-01,SUCOAS
R00406,6.93E+00,5.05E-02,
R00407,1.96E+04,3.36E-01,SUCCOAPET
R00408,8.06E-09,5.70E-02,SUCD1
R00409,2.35E-02,9.25E-02,MCITL2
R00410,1.09E-02,5.92E-01,OCOAT1m
R00411,2.74E+00,5.94E-02,SGDS
R00414,1.21E+04,6.98E-02,r0113
R00416,4.10E+00,5.26E-02,
R00418,1.00E+00,7.90E-03,UAG4Ei
R00420,1.00E+00,7.90E-03,UAG2E
R00421,9.51E+02,7.00E-03,
R00426,2.81E+05,2.25E-01,NTPP2
R00428,3.51E-02,9.64E-02,r0120
R00430,5.12E-06,3.23E-01,GTPOPm
